id,pA,pB,pTie
53567,0.29408327,0.45897022,0.24694647
441448,0.3385454,0.3521294,0.30932516
914644,0.39661467,0.29882514,0.3045602
1120158,0.4615225,0.29849705,0.23998049
2051408,0.44106704,0.24157701,0.31735602
3258431,0.4428982,0.29035896,0.2667429
3499263,0.3569561,0.30414763,0.33889627
3643104,0.13084862,0.70810574,0.16104558
3710170,0.3453321,0.30968753,0.3449804
3760933,0.37884486,0.34025085,0.2809043
3994811,0.5218772,0.24865001,0.2294727
3995635,0.35593385,0.357207,0.28685915
4349090,0.61401355,0.16102244,0.22496402
4510489,0.4740925,0.26606706,0.25984052
5061737,0.40424165,0.34613335,0.24962491
5166668,0.08269582,0.8083774,0.10892681
5188727,0.33561504,0.3523168,0.3120682
6287371,0.14977068,0.6806914,0.16953795
6492528,0.12449005,0.12602967,0.7494803
6570133,0.4523749,0.2700409,0.27758417
6701196,0.51771975,0.24562687,0.23665342
6817408,0.7499479,0.08967817,0.16037394
7271889,0.21768028,0.31733042,0.46498924
7739903,0.33597344,0.35154396,0.3124826
7831108,0.32974136,0.25970745,0.41055125
8017578,0.21559648,0.2087215,0.575682
8210755,0.372538,0.37665537,0.25080657
8785767,0.16320936,0.15186673,0.6849238
9644862,0.31720096,0.4005894,0.28220963
10203267,0.20294985,0.44229418,0.35475606
11036870,0.34411487,0.33712086,0.31876424
11174153,0.22861636,0.45162022,0.31976348
11662304,0.29687056,0.3069111,0.3962183
12030710,0.76422644,0.10002973,0.13574386
13709106,0.7129937,0.12616824,0.16083811
14451315,0.71927625,0.1241833,0.1565405
14685320,0.1175961,0.101706535,0.78069746
15059469,0.17158118,0.6369446,0.19147421
15247315,0.43904078,0.31421462,0.24674465
15551443,0.3602858,0.34963965,0.2900746
15945921,0.15677492,0.15077548,0.6924497
17214070,0.25068814,0.24699771,0.5023142
17846323,0.79885846,0.067377046,0.13376454
18086268,0.51213056,0.19941868,0.2884507
18149745,0.41201997,0.33344305,0.25453696
18161882,0.25676987,0.3988512,0.3443789
18802659,0.23746333,0.50196886,0.26056787
19606851,0.2594984,0.28787386,0.4526277
20154595,0.093516156,0.08399199,0.8224918
20185159,0.39092955,0.29949167,0.30957875
21067116,0.4544896,0.31214008,0.23337036
21397191,0.22042774,0.3159679,0.46360427
22387439,0.26396018,0.32860425,0.40743554
22619105,0.38453797,0.3265981,0.2888639
22730772,0.17363131,0.6202619,0.20610677
22897436,0.09169596,0.7735718,0.13473222
24355595,0.36447254,0.31804812,0.31747934
24659060,0.14599012,0.7021418,0.15186799
24710636,0.2803109,0.31215602,0.4075331
25419050,0.22416173,0.48747483,0.28836346
26344235,0.38012812,0.29729715,0.3225748
26762900,0.13645706,0.71198225,0.15156074
26880709,0.25706056,0.23892434,0.50401515
26928706,0.22845674,0.41527578,0.35626754
26954423,0.34970322,0.32581708,0.32447976
27640786,0.53920364,0.23768805,0.22310826
27899018,0.24094814,0.2541056,0.50494623
28810507,0.29955122,0.36136532,0.33908346
29477106,0.47549614,0.22759934,0.29690444
29650947,0.42473453,0.30867362,0.26659188
29781135,0.122546524,0.7383502,0.1391032
29998700,0.4366945,0.28305078,0.28025472
30231571,0.6254893,0.18578379,0.18872687
30614122,0.41598052,0.2839613,0.30005822
30651405,0.3978544,0.2869281,0.31521747
30792503,0.24323681,0.46536252,0.2914006
31514551,0.37511525,0.31277385,0.31211084
31747214,0.74103355,0.11080866,0.14815779
31981480,0.32121715,0.3371167,0.34166613
32638273,0.34747007,0.4398835,0.2126465
33407477,0.08258543,0.8051781,0.11223647
33917986,0.27315253,0.46449062,0.26235685
34009462,0.5481819,0.1612891,0.290529
34083819,0.38693866,0.31396562,0.29909575
34107392,0.38773298,0.33730415,0.27496278
34141516,0.754548,0.11110097,0.13435109
34504374,0.3304095,0.28599718,0.38359326
34540796,0.36675176,0.36771545,0.26553282
34993192,0.31819496,0.2615911,0.42021388
35235817,0.18752894,0.5704937,0.24197735
35282086,0.284105,0.4565797,0.25931525
35492332,0.27579427,0.23632197,0.48788375
35662089,0.12401658,0.72751236,0.14847104
36351965,0.30972052,0.3778534,0.3124262
37043878,0.3260406,0.35988382,0.31407562
37079639,0.51749116,0.20850387,0.274005
37203239,0.16517542,0.22113743,0.6136872
37411931,0.28734723,0.36877334,0.34387946
37611174,0.38237253,0.26799294,0.3496345
38541643,0.13304804,0.71937627,0.1475757
38966329,0.39829358,0.32217404,0.2795323
39507509,0.22548796,0.28396884,0.49054316
40307655,0.6718328,0.11090697,0.21726012
40556750,0.4296431,0.30334744,0.26700947
40931395,0.2402228,0.48039657,0.2793806
41176201,0.22886378,0.25661713,0.5145191
41689846,0.31085038,0.3653904,0.3237592
42421151,0.4074475,0.3035094,0.2890431
42439658,0.29716387,0.2875907,0.41524547
42832538,0.3213171,0.31921664,0.3594663
43013256,0.17649062,0.17356892,0.64994043
44113499,0.47078854,0.2559129,0.27329868
44132997,0.21434121,0.25409782,0.53156096
44286334,0.37830815,0.27501762,0.34667423
44439894,0.51461214,0.25913456,0.2262533
46298937,0.21360976,0.17552978,0.61086047
46908692,0.18486172,0.1844837,0.6306545
47227021,0.32180983,0.3560587,0.32213148
47599014,0.21312442,0.49960104,0.2872745
48081420,0.23145168,0.2837594,0.48478898
48259531,0.13439308,0.70696765,0.15863934
48300687,0.4213725,0.29744938,0.28117815
48707291,0.25334358,0.40254417,0.34411228
49610973,0.08404501,0.80189407,0.11406098
50145026,0.29464427,0.36775994,0.33759576
51210806,0.2110459,0.49689686,0.29205722
51618708,0.4968211,0.23372069,0.2694582
51782523,0.35556585,0.3671497,0.2772845
52353020,0.39120284,0.32560584,0.28319135
52660023,0.29574698,0.26691774,0.43733534
52770361,0.393138,0.32431942,0.2825426
52934238,0.54334325,0.23687424,0.21978253
54148055,0.14544585,0.6812575,0.1732967
54230341,0.17226286,0.6521559,0.17558128
55076734,0.25196958,0.19360413,0.55442625
55331276,0.167463,0.6525249,0.18001215
55414738,0.356842,0.34548184,0.29767615
55873199,0.2509107,0.3169097,0.4321796
56345886,0.35321376,0.30175662,0.34502953
56432908,0.110071026,0.089945756,0.79998326
56498932,0.17356609,0.5993117,0.22712223
56570247,0.21970606,0.48721066,0.2930833
57056642,0.2634458,0.46313313,0.27342114
57303972,0.42249757,0.31655458,0.26094788
57552684,0.34134907,0.31940755,0.3392434
57663615,0.39206347,0.29620737,0.3117292
58131904,0.32444003,0.41844153,0.25711852
58586803,0.37217718,0.2788499,0.34897292
58971764,0.41479087,0.28752846,0.2976807
59408135,0.3732329,0.26978883,0.35697824
60121960,0.16362008,0.6524484,0.18393151
61120436,0.3594863,0.28541955,0.35509416
61343237,0.28803197,0.3108195,0.40114853
61558028,0.35471705,0.2728682,0.3724147
61564781,0.24136677,0.35173246,0.4069008
61777900,0.32696208,0.3122059,0.36083207
61864121,0.26337364,0.42852804,0.30809832
62077669,0.19387558,0.5896161,0.21650822
62433712,0.57614017,0.20179696,0.22206287
62764458,0.27897274,0.23104233,0.48998502
64278103,0.3166406,0.35143915,0.33192024
64887855,0.3419657,0.3438844,0.31414995
65347038,0.2718817,0.24006711,0.48805118
65525364,0.17941172,0.6523117,0.16827656
