id,pA,pB,pTie,label
30192,0.54076886,0.23091444,0.22831668,0
53567,0.29717752,0.4172759,0.28554654,1
65089,0.29638842,0.36187395,0.34173766,2
96401,0.36818492,0.28674006,0.34507495,0
198779,0.31940266,0.31023014,0.3703671,1
292873,0.3011868,0.5178608,0.18095249,1
313413,0.34592992,0.28477013,0.3693,0
370945,0.25850213,0.35772648,0.38377142,1
441448,0.28353065,0.2795289,0.43694046,1
481524,0.33351946,0.3150444,0.35143614,1
497862,0.35402226,0.34986517,0.29611254,1
587904,0.35445172,0.30753183,0.33801645,0
604575,0.3741771,0.34292114,0.28290173,1
738614,0.42670792,0.2567649,0.31652716,0
862324,0.33379266,0.30968925,0.35651803,2
863398,0.27389118,0.4140122,0.31209657,1
887722,0.26748866,0.3037996,0.42871174,0
914644,0.38616014,0.31588233,0.29795754,1
933555,0.24750097,0.31712112,0.4353779,2
1120158,0.41322783,0.31955418,0.26721802,1
1256092,0.39064297,0.26743647,0.34192052,2
1404102,0.23957723,0.23288451,0.52753824,1
1440765,0.22378111,0.548849,0.2273699,2
1458108,0.25036997,0.3015779,0.4480521,2
1491225,0.29990837,0.3143151,0.38577655,2
1594211,0.30231994,0.2733992,0.42428082,2
1639617,0.38857323,0.44155592,0.16987085,2
1744093,0.3102537,0.26651943,0.4232269,0
1813737,0.40873507,0.38416204,0.20710291,1
1827787,0.3269296,0.3269296,0.34614077,2
1842252,0.36559927,0.32655793,0.30784282,0
2051408,0.4663253,0.29237103,0.24130361,2
2154496,0.36680222,0.34645686,0.28674093,1
2298796,0.35508016,0.33112913,0.31379074,0
2388511,0.44444078,0.39807305,0.15748623,0
2802516,0.34438708,0.3520262,0.3035867,1
2857714,0.3803321,0.34266505,0.2770028,0
2912862,0.37402657,0.36228296,0.26369047,1
2944182,0.2368519,0.23513849,0.52800965,2
3254113,0.3995113,0.3995113,0.2009774,2
3258431,0.26921484,0.2690841,0.46170112,0
3259481,0.2975083,0.28917828,0.41331345,2
3373963,0.46244597,0.28752634,0.2500277,0
3445782,0.296788,0.28276068,0.4204513,1
3475655,0.3093735,0.30647096,0.3841555,1
3499263,0.4538603,0.35373095,0.19240873,0
3503031,0.38753057,0.277332,0.3351374,1
3504181,0.33949932,0.33949932,0.32100138,2
3519254,0.27803499,0.27116948,0.45079556,2
3567106,0.24446797,0.36862013,0.38691196,1
3578663,0.32099074,0.2958026,0.38320664,2
3590999,0.25725204,0.25725204,0.4854959,2
3622781,0.36991268,0.36991268,0.26017463,0
3643104,0.221338,0.5901794,0.1884826,2
3710170,0.44136336,0.3502375,0.20839913,2
3760933,0.41960385,0.3498419,0.23055424,0
3773792,0.4187157,0.2970047,0.2842796,2
3777134,0.2537611,0.5030649,0.24317402,2
3994811,0.30406877,0.30225387,0.39367732,2
3995635,0.44916373,0.36035302,0.19048324,2
4186011,0.26032752,0.49419096,0.24548146,1
4349090,0.48306686,0.22592929,0.29100388,0
4356730,0.40769905,0.3258837,0.2664173,0
4486480,0.33233163,0.33430612,0.3333622,2
4510489,0.31841198,0.38590544,0.29568258,2
4587071,0.35622424,0.35168302,0.29209265,1
4615863,0.21857144,0.39003718,0.39139137,1
4683272,0.24037138,0.21335508,0.5462736,2
4790276,0.31531718,0.35866174,0.3260211,2
4961077,0.29750186,0.27210906,0.43038908,0
4970917,0.45211458,0.32406956,0.22381584,0
4990514,0.22903652,0.20063893,0.57032454,1
5061737,0.36382127,0.30291367,0.33326507,2
5069186,0.37330174,0.21948664,0.40721157,2
5166668,0.17764209,0.5853243,0.23703365,1
5187535,0.26179394,0.24954031,0.48866576,2
5188727,0.31286228,0.31286228,0.37427542,0
5378146,0.3500977,0.3395201,0.31038225,1
5498037,0.28292644,0.2803006,0.43677303,0
5530797,0.39265302,0.39265302,0.21469395,0
5717448,0.3052192,0.30515593,0.38962486,0
5879089,0.2249301,0.37183878,0.4032311,2
5973148,0.36695632,0.30124336,0.3318003,0
6058088,0.29315078,0.39944005,0.30740923,1
