id,pA,pB,pTie,label
30192,0.61718625,0.26407596,0.118737794,0
53567,0.31006175,0.4359523,0.25398597,1
65089,0.28920814,0.34555453,0.36523727,2
96401,0.30918434,0.28170177,0.40911385,0
198779,0.30412915,0.2882212,0.40764964,1
292873,0.32459563,0.5338013,0.14160304,1
313413,0.36126432,0.27562383,0.36311182,0
370945,0.27495557,0.40969038,0.31535405,1
441448,0.24209288,0.24031828,0.51758885,1
481524,0.30700418,0.32537782,0.367618,1
497862,0.3176952,0.32437602,0.3579288,1
587904,0.36638534,0.31673667,0.31687802,0
604575,0.34926388,0.31896427,0.33177185,1
738614,0.40118256,0.292074,0.30674344,0
862324,0.29367015,0.27785262,0.4284772,2
863398,0.28983256,0.42827824,0.2818892,1
887722,0.26499036,0.29839292,0.4366167,0
914644,0.39154917,0.31167322,0.29677767,1
933555,0.2669339,0.40153754,0.33152854,2
1120158,0.40324208,0.3218778,0.27488014,1
1256092,0.40526843,0.2855162,0.30921537,2
1404102,0.22141142,0.20401894,0.5745697,1
1440765,0.26993516,0.59694606,0.13311873,2
1458108,0.2439889,0.28160676,0.47440434,2
1491225,0.2778417,0.31506282,0.4070955,2
1594211,0.27210218,0.25580215,0.47209567,2
1639617,0.37960434,0.44361266,0.17678301,2
1744093,0.35501745,0.2661495,0.37883312,0
1813737,0.38296714,0.3646232,0.25240964,1
1827787,0.2807793,0.2807793,0.4384414,2
1842252,0.38166228,0.31500983,0.3033279,0
2051408,0.49211672,0.31583568,0.19204767,2
2154496,0.36537042,0.32994726,0.30468234,1
2298796,0.37113887,0.31801248,0.31084868,0
2388511,0.40255365,0.40282547,0.1946209,0
2802516,0.31055918,0.32373303,0.36570773,1
2857714,0.37256235,0.33053896,0.29689863,0
2912862,0.3489475,0.3398445,0.31120804,1
2944182,0.22258545,0.21930599,0.5581086,2
3254113,0.3872864,0.3872864,0.22542721,2
3258431,0.24467999,0.24243714,0.5128829,0
3259481,0.3101048,0.2794252,0.41046995,2
3373963,0.48210317,0.31368676,0.20421004,0
3445782,0.27295402,0.26672757,0.46031848,1
3475655,0.2877413,0.28110415,0.43115455,1
3499263,0.42944768,0.35894907,0.21160324,0
3503031,0.4401805,0.2984124,0.26140702,1
3504181,0.30447248,0.30447248,0.391055,2
3519254,0.2548056,0.24788925,0.49730515,2
3567106,0.2733042,0.38135472,0.34534115,1
3578663,0.3129144,0.28629506,0.4007906,2
3590999,0.2415879,0.2415879,0.5168241,2
3622781,0.34181663,0.34181663,0.31636673,0
3643104,0.25349808,0.670111,0.07639095,2
3710170,0.41461024,0.361376,0.22401379,2
3760933,0.40346545,0.3398152,0.25671935,0
3773792,0.43095034,0.3096234,0.25942624,2
3777134,0.295813,0.546996,0.15719105,2
3994811,0.2865084,0.28380954,0.42968208,2
3995635,0.45216817,0.3522671,0.19556473,2
4186011,0.28736487,0.55432445,0.15831068,1
4349090,0.5489944,0.27236742,0.17863812,0
4356730,0.4103458,0.32590008,0.26375413,0
4486480,0.3183699,0.33078876,0.35084134,2
4510489,0.32186577,0.37054932,0.30758488,2
4587071,0.3298615,0.33085003,0.33928847,1
4615863,0.25242838,0.49220768,0.25536394,1
4683272,0.23343068,0.1936544,0.5729149,2
4790276,0.30695087,0.34896109,0.34408808,2
4961077,0.2675265,0.26497257,0.46750087,0
4970917,0.4692004,0.33323026,0.19756936,0
4990514,0.18583904,0.17458373,0.6395772,1
5061737,0.37070262,0.3013222,0.3279751,2
5069186,0.47047332,0.24853012,0.28099653,2
5166668,0.20091023,0.71893543,0.080154344,1
5187535,0.2308912,0.22564459,0.54346424,2
5188727,0.28020045,0.28020045,0.43959904,0
5378146,0.33816305,0.317595,0.34424195,1
